Cayman Islands;CYM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;71,58784905;69,47102566
Cyprus;CYP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;74,96730233;76,48774863
Czechia;CZE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;76,94357596;73,87978033
Germany;DEU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;47,30885914;47,12758088
Djibouti;DJI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;156,619875;166,7177464
Dominica;DMA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,19325981;
Denmark;DNK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;56,55980449;58,64718222
Dominican Republic;DOM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,55143131;23,06928204
Algeria;DZA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,42310574;20,40794195
East Asia & Pacific (excluding high income);EAP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,31294661;22,40650449
Early-demographic dividend;EAR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25,80246091;24,80201018
East Asia & Pacific;EAS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,11635626;27,92957177
Europe & Central Asia (excluding high income);ECA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36,7374796;36,96419943
Europe & Central Asia;ECS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45,11866032;45,04190958
Ecuador;ECU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,54387085;24,04863482
Egypt, Arab Rep.;EGY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;17,98465561;16,64403145
Euro area;EMU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;48,05423389;48,30691468
Eritrea;ERI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Spain;ESP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;35,14506267;34,90690181
Estonia;EST;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;74,32389785;73,35955444
Ethiopia;ETH;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;8,372675866;7,939976609
European Union;EUU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;49,11763516;49,40165014
Fragile and conflict affected situations;FCS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Finland;FIN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38,46878721;39,8806794
Fiji;FJI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;47,74879577;48,46090215
France;FRA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,71366721;31,59205541
Faroe Islands;FRO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;52,81800664;55,76971628
Micronesia, Fed. Sts.;FSM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36,37357143;26,79413706
Gabon;GAB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;54,29907649;51,43107323
United Kingdom;GBR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,58011136;31,63478028
Georgia;GEO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;49,69554106;54,30430841
Ghana;GHA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;33,45489545;37,44959986
Gibraltar;GIB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Guinea;GIN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;40,20709553;35,04204934
Gambia, The;GMB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,7264295;18,84139797
Guinea-Bissau;GNB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25,47686733;27,00268559
Equatorial Guinea;GNQ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;59,61453472;51,13074955
Greece;GRC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38,9929061;40,11076393
Grenada;GRD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Greenland;GRL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;44,4545789;41,0427005
Guatemala;GTM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18,16932653;17,61197615
Guam;GUM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19,25301603;22,2501967
Guyana;GUY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
High income;HIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;32,08020166;31,21038077
Hong Kong SAR, China;HKG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;188,339507;177,6513152
Honduras;HND;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41,45481656;40,21896374
Heavily indebted poor countries (HIPC);HPC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,69322361;23,14733926
Croatia;HRV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;48,95598282;50,16314507
Haiti;HTI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;10,78082259;10,55767343
Hungary;HUN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;83,75531586;81,52974061
IBRD only;IBD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25,31336786;24,43076715
IDA & IBRD total;IBT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,85033845;24,00045134
IDA total;IDA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19,68566756;19,51750707
IDA blend;IDB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Indonesia;IDN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,0027465;18,5915278
IDA only;IDX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,3519627;21,15810743
Isle of Man;IMN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
India;IND;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19,9278286;18,6642649
Not classified;INX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Ireland;IRL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;122,4809464;128,0042429
Iran, Islamic Rep.;IRN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,1163801;23,48386727
Iraq;IRQ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;40,80264203;38,0518682
Iceland;ISL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;46,04676239;43,71324844
Israel;ISR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,87291646;29,04935295
Italy;ITA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,3535542;31,60241973
Jamaica;JAM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38,56384829;38,03608075
Jordan;JOR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;35,12775864;36,67120296
Japan;JPN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18,3149456;17,46352643
Kazakhstan;KAZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37,62521843;36,4389871
